porter	VER	44
entretien	NOM	44
maladie	NOM	44
espérer	VER	44
discussion	NOM	44
parfois	ADV	44
base	NOM,VER	44
rappel	NOM	44
journal	NOM	44
tant	ADV	44
université	NOM	44
fondre	VER,NOM	44
main	NOM	43
mère	NOM	43
plan	ADJ,NOM	43
revenir	VER,ADJ,NOM	43
secteur	NOM	43
derrière	ADV,NOM,PRE	43
actuellement	ADV	43
audience	NOM	43
nucléaire	ADJ,NOM	43
pourtant	ADV	43
huit	ADJ:num	43
vouloir	NOM,VER	43
somme	NOM,VER,AUX,VER	43
message	NOM	43
majeur	ADJ,NOM	43
financier	ADJ,NOM	43
minute	NOM,VER	43
moi	NOM,PRO:per	43
interdire	VER,ADJ,NOM	43
collectif	ADJ	43
imposer	VER	43
tir	NOM	43
patron	NOM	42
représenter	VER	42
événement	NOM	42
emploi	NOM	42
annonce	NOM,VER	42
petit	ADJ,ADV,NOM	42
continent	ADJ,NOM	42
mali	NOM	42
marque	NOM,VER	42
blanc	ADJ,NOM	42
hidalgo	NOM	42
militant	ADJ,NOM	42
gaz	NOM	42
promettre	VER,ADJ,NOM	42
charge	NOM,VER	42
type	NOM	42
visa	NOM,VER	42
marquer	VER,ADJ	42
noir	ADJ,NOM	42
mot	NOM	42
olympique	ADJ	42
piano	ADV,NOM	42
situer	VER,ADJ	41
record	NOM	41
contact	NOM	41
total	ADJ,NOM	41
terrain	NOM	41
façon	NOM	41
ajouter	VER	41
tension	NOM	41
augmentation	NOM	41
bord	NOM	41
opération	NOM	41
long	ADJ,NOM	41
réalisateur	NOM	41
qualifier	VER,ADJ	41
valeur	NOM	41
précis	ADJ,VER	41
application	NOM	41
suivi	ADJ,NOM,VER	41
emmerder	VER	41
ouverture	NOM	41
institution	NOM	41
assez	ADV	41
restriction	NOM	41
important	ADJ,NOM,VER	41
marche	NOM,VER	41
modeler	VER,ADJ,NOM	41
sexuel	ADJ	41
cour	NOM	40
ouvrir	VER	40
chercher	VER	40
stratégie	NOM	40
musique	NOM,VER	40
défendre	VER	40
terre	NOM,VER	40
doute	NOM,VER	40
voie	NOM,VER	40
guerre	NOM	40
outil	NOM	40
capacité	NOM	40
provoquer	VER,ADJ	40
détention	NOM	40
art	NOM	40
milieu	ADV,NOM	40
idée	NOM	40
départ	NOM,VER	40
fermer	VER,ADJ	40
tenter	VER	40
lorsque	ADV,CON	40
entraîneur	NOM	40
placer	VER,ADJ	39
déposer	VER	39
porte	NOM,VER	39
revenir	VER	39
peut-être	ADV	39
long	ADJ,ADV,NOM	39
propre	ADJ,NOM	39
entendre	VER	39
dispositif	NOM	39
rendre	VER,ADJ,NOM	39
matière	NOM	39
éviter	VER	39
patient	ADJ,NOM	39
soumettre	VER,ADJ	39
eau	NOM	39
espace	NOM,VER	39
tenir	VER,ADJ	39
train	NOM	39
revanche	NOM	39
agent	NOM	39
figure	NOM,VER	39
renforcer	VER	39
avoir	VER,NOM,AUX	39
numéro	NOM	38
appeler	VER	38
bureau	NOM	38
abord	NOM	38
production	NOM	38
rapidement	ADV	38
tester	VER	38
amende	NOM,VER	38
programme	NOM,VER	38
pierre	NOM	38
confirmer	VER	38
élever	VER,ADJ	38
sport	NOM	38
cinéma	NOM	38
dérouler	VER	38
comprendre	VER,ADJ	38
devoir	VER,ADJ,NOM	38
chose	NOM	38
hôtel	NOM	38
théâtre	NOM	38
finalement	ADV	38
erreur	NOM	37
télévision	NOM	37
page	NOM	37
organiser	VER	37
vigueur	NOM	37
syndicat	NOM	37
réaliser	VER	37
exister	VER	37
large	ADJ,NOM	37
croire	VER	37
gens	NOM	37
missile	NOM	37
juger	VER	37
lequel	PRO:int,PRO:rel	37
tenter	VER,ADJ	37
supplémentaire	ADJ	37
camp	NOM	37
utilisateur	NOM	37
poursuite	NOM	37
libération	NOM	37
quant	NOM	37
vingt	ADJ:num	37
simple	ADJ,NOM	37
migrant	ADJ,NOM	37
refuser	VER	37
bouillir	VER,NOM	37
absence	NOM	37
bon	ADJ,ADV,NOM,ONO	36
gestion	NOM	36
porter	NOM,VER	36
action	NOM	36
million	NOM	36
délai	NOM	36
haut	ADJ,NOM	36
présence	NOM	36
formation	NOM	36
arrêter	VER	36
recenser	VER	36
mondial	ADJ,NOM	36
identifier	VER	36
passage	NOM	36
changement	NOM	36
paraître	VER	36
occasion	NOM	36
chose	NOM,VER	36
blesser	VER,ADJ,NOM	36
scientifique	ADJ,NOM	36
scrutin	NOM	36
écrire	VER,ADJ,NOM	36
marcher	VER,NOM	36
dossier	NOM	35
réussi	ADJ,VER	35
salle	NOM	35
actuel	ADJ	35
enseignant	ADJ,NOM	35
fond	NOM,VER	35
récent	ADJ	35
valoir	VER	35
rejeter	VER,ADJ	35
quitter	VER	35
cinquième	ADJ,NOM	35
supérieur	ADJ,NOM	35
menacer	VER,ADJ	35
clair	ADJ,NOM	35
épidémie	NOM	35
passer	VER,VER	35
soin	NOM	35
découvert	ADJ,NOM,VER	35
possibilité	NOM	35
nouvel	ADJ	35
important	ADJ	35
point	NOM	35
après-midi	NOM	35
bas	ADJ,ADV,NOM	35
reprendre	VER	35
soirée	NOM	35
utilisation	NOM	35
procès	NOM	34
continue	ADJ,VER	34
leader	NOM	34
ouest	ADJ,NOM	34
parole	NOM	34
manque	NOM,VER	34
longtemps	ADV	34
certain	ADJ,ADJ:ind	34
appareil	NOM	34
poster	VER,VER	34
différent	ADJ,ADJ:ind	34
bénéficier	VER	34
comprendre	VER	34
maintenant	ADV,VER	34
recevoir	VER	34
course	NOM,VER	34
poste	NOM,VER	34
voter	VER	34
annuler	VER,ADJ	34
suspendre	VER,ADJ	34
banque	NOM	34
transition	NOM	34
classement	NOM	34
centaine	NOM,ADJ:num	34
téléphone	NOM,VER	33
mal	ADJ,ADV,NOM	33
effectuer	VER	33
négatif	ADJ,NOM	33
apporter	VER	33
confiance	NOM	33
ukrainien	ADJ,NOM	33
cérémonie	NOM	33
sauf	ADJ,PRE	33
augmenter	VER	33
davantage	ADV	33
sortir	NOM,VER	33
administratif	ADJ,NOM	33
subir	VER	33
énergie	NOM	33
réclamer	VER	33
conflit	NOM	33
armer	VER,ADJ	33
justifier	VER	33
allier	VER,ADJ,NOM	33
dire	VER	33
reconnaître	VER,ADJ	33
juste	ADJ,ADV,NOM	33
identité	NOM	33
communiste	ADJ,NOM	33
liste	NOM	32
parent	ADJ,NOM	32
soutenir	VER,ADJ	32
île	NOM	32
rapporter	VER,ADJ	32
atteindre	VER	32
lutte	NOM,VER	32
baisse	NOM,VER	32
chine	NOM,VER	32
plupart	ADV	32
me	NOM,ADJ:pos,PRO:pos	32
sélection	NOM	32
naître	VER,ADJ	32
allemagne	NOM	32
octobre	NOM	32
préparer	VER	32
chambre	NOM,VER	32
argent	ADJ,NOM	32
clavier	NOM	32
quel	ADJ:int	31
insister	VER	31
relation	NOM,VER	31
création	NOM	31
constater	VER	31
sérieux	ADJ,NOM	31
rejoindre	VER	31
chance	NOM	31
